iter	RMSE
0	0.2984176337
1	0.2828064098
2	0.2691849685
3	0.2529169887
4	0.23818012
5	0.2247821642
6	0.2131658221
7	0.2023369649
8	0.1880453026
9	0.177991558
10	0.1684871128
11	0.157576714
12	0.1481356272
13	0.1410762407
14	0.1331741076
15	0.1268047251
16	0.1205572563
17	0.1114720067
18	0.1045665566
19	0.09910080179
20	0.09231370921
21	0.08755317373
22	0.08259425749
23	0.07734471665
24	0.07369117535
25	0.06979762949
26	0.06577416486
27	0.0624219805
28	0.05845404849
29	0.05553866355
30	0.05292333165
31	0.04997703941
32	0.04752437461
33	0.04488174597
34	0.04301339337
35	0.04066956243
36	0.03916393416
37	0.03753658406
38	0.03598787672
39	0.03426752317
40	0.0327143528
41	0.0311704559
42	0.02987816195
43	0.02882016818
44	0.02791857891
45	0.02665433507
46	0.0255570274
47	0.02456084007
48	0.02358052295
49	0.02257299729
50	0.02166677408
51	0.02094178947
52	0.02012552846
53	0.0196125142
54	0.01886397163
55	0.01832987163
56	0.01779279883
57	0.01731519012
58	0.01683779249
59	0.01632493192
60	0.01581941695
61	0.01540657795
62	0.01490022007
63	0.01452670992
64	0.01413961156
65	0.01363757177
66	0.01333483216
67	0.01296704518
68	0.01260039441
69	0.01217287482
70	0.01196426798
71	0.01166710041
72	0.01146734753
73	0.01121218205
74	0.01099113566
75	0.01079591846
76	0.01059613219
77	0.01041885964
78	0.01022242732
79	0.009884820329
80	0.009702079596
81	0.009535494616
82	0.009367091784
83	0.009205894578
84	0.00905163024
85	0.008804969889
86	0.008687596915
87	0.008434241578
88	0.008318480771
89	0.008075619012
90	0.007971725673
91	0.007871757909
92	0.007648952029
93	0.007555087849
94	0.007464800862
95	0.007216534099
96	0.00713206715
97	0.00691092733
98	0.006831790715
99	0.006609490834
100	0.00652999406
101	0.006458543217
102	0.006329560872
103	0.006164152506
104	0.005962713175
105	0.005899063782
106	0.005722763774
107	0.00559266112
108	0.005535015734
109	0.005479654404
110	0.005366534121
111	0.00531478211
112	0.00511085097
113	0.005062440601
114	0.005015996136
115	0.004832673641
116	0.004789177201
117	0.004698673829
118	0.00465812564
119	0.004619203667
120	0.004459167343
121	0.004357946345
122	0.004322598968
123	0.004236338951
124	0.004203452129
125	0.004128338802
126	0.004097809639
127	0.003963571022
128	0.003935101968
129	0.003803070326
130	0.003710557783
131	0.003676157393
132	0.003651224507
133	0.003567790347
134	0.003474290437
135	0.003430427757
136	0.003408469446
137	0.003362141498
138	0.003276587728
139	0.003204119052
140	0.003134095807
141	0.003072467656
142	0.003002426925
143	0.00294773583
144	0.002928049661
145	0.0028890303
146	0.002870903369
147	0.0028196427
148	0.002784241865
149	0.002752548661
150	0.002708702745
151	0.002667070264
152	0.002627518577
153	0.002563991609
154	0.002527587458
155	0.002492971652
156	0.002423560219
157	0.002387199531
158	0.002372962935
159	0.002339194855
160	0.00230729226
161	0.002277150831
162	0.002240847657
163	0.002207514691
164	0.002177793577
165	0.00214231752
